exchange,stock_symbol_Ticker,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NYSE,CLI,2/12/2010,30.77,31.3,30.63,31.3,1020500,31.3
NYSE,CLI,2/11/2010,30.77,31.21,30.33,31.16,1132200,31.16
NYSE,CLI,2/10/2010,30.82,31.2,30.37,31,904100,31
NYSE,CLI,2/9/2010,31.7,31.74,30.84,30.93,838600,30.93
NYSE,CLI,2/8/2010,31.98,32.29,31.2,31.24,888300,31.24
NYSE,CLI,2/5/2010,31.6,32.09,31,31.85,1365700,31.85
NYSE,CLI,2/4/2010,32.41,32.56,31.52,31.53,1409800,31.53
NYSE,CLI,2/3/2010,32.91,33,32.48,32.77,964900,32.77
NYSE,CLI,2/2/2010,32.93,33.33,32.57,33.12,2179700,33.12
NYSE,CLI,2/1/2010,32.93,33.03,32.59,32.82,860100,32.82
NYSE,CLI,1/29/2010,33.23,33.42,32.51,32.62,1216700,32.62
NYSE,CLI,1/28/2010,33.67,33.73,32.91,33.01,833700,33.01
NYSE,CLI,1/27/2010,33.74,33.92,33.14,33.49,1428700,33.49
NYSE,CLI,1/26/2010,34.47,34.64,33.73,33.83,938800,33.83
NYSE,CLI,1/22/2010,35.03,35.4,34.24,34.41,1174100,34.41
NYSE,CLI,1/21/2010,35.86,36.16,35.11,35.16,814500,35.16
NYSE,CLI,1/20/2010,35.8,36.02,35.53,35.96,556400,35.96
NYSE,CLI,10/24/2000,27.31,27.31,26.69,26.75,341500,14.17
NYSE,CLI,10/23/2000,27.19,27.44,27.12,27.19,186400,14.4
NYSE,CLI,10/20/2000,27.19,27.38,27.19,27.38,139300,14.5
NYSE,CLI,10/19/2000,26.69,27.44,26.69,27.19,170800,14.4
NYSE,CLI,10/18/2000,27,27,26.81,26.81,63600,14.2
NYSE,CLI,10/17/2000,27.06,27.19,26.88,27,192700,14.3
NYSE,CLI,10/16/2000,27.44,27.62,27.12,27.19,273000,14.4
NYSE,CLI,10/13/2000,27.5,27.56,27.38,27.44,108500,14.53
NYSE,CLI,10/12/2000,27.69,27.69,27.44,27.5,202500,14.56
NYSE,CLI,10/11/2000,27.75,27.88,27.62,27.69,445700,14.66
NYSE,CLI,10/10/2000,27.81,28,27.69,27.75,305900,14.7
NYSE,CLI,10/9/2000,27.75,27.81,27.56,27.75,81500,14.7
NYSE,CLI,10/6/2000,27.19,27.81,27.06,27.75,258700,14.7
NYSE,CLI,10/5/2000,26.69,27.25,26.56,27.19,217900,14.4
NYSE,CLI,10/4/2000,27.12,27.12,26.5,26.56,129700,14.07
NYSE,CLI,10/3/2000,27.12,27.31,27.06,27.12,251800,14.36
NYSE,CLI,10/2/2000,27.81,27.88,27.19,27.25,294800,14.43
NYSE,CLI,9/29/2000,28.25,28.44,28.12,28.19,312800,14.6
NYSE,CLI,9/28/2000,28.25,28.62,28.25,28.25,130200,14.64
NYSE,CLI,9/27/2000,28.06,28.25,28.06,28.12,94400,14.57
NYSE,CLI,9/26/2000,27.81,28.06,27.38,28,468700,14.51
NYSE,CLI,9/25/2000,28.44,28.62,27.38,27.56,329300,14.28
